year,gdp,incomereceiptsrestofworld,incomepaymentsrestofworld,nnp,consumptionfixedcapital,personalcurrenttaxes,excisetaxes,customs,fedreserve,othercit,cgsi,estatetax,statepctincome,statepctother,statesalestaxes,statepropertytaxes,stateothertopi,statecit,statecgsi,stateestatetax,pbgc,veteransemployer,workerscomp,militarymed,stateworkerscomp,suppmedical,veteransemployee,cgsidomestic,cgsiforeign,cgsirestofworld,netsaving,netlendingborrowing,capitalstock
1929,104.6,1.1,0.4,94.9,10.4,1.2,0.6,0.6,0,1.2,0.1,0.1,0.1,0.4,0.4,4.5,0.7,0.1,0,0.2,0,0,0,0,0,0,0.1,0.1,0,0,0.8,0,0
1930,92.2,1,0.3,82.7,10.2,1,0.5,0.5,0,0.7,0.1,0.1,0.1,0.4,0.5,4.7,0.7,0.1,0,0.2,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0
1931,77.4,0.8,0.3,68.4,9.5,0.5,0.5,0.4,0,0.4,0.1,0.1,0.1,0.4,0.6,4.5,0.7,0.1,0,0.2,0,0,0,0,0,0,0.1,0.1,0,0,-2.3,0,0
1932,59.5,0.5,0.2,51.6,8.3,0.3,0.6,0.2,0,0.3,0.1,0,0.1,0.4,0.6,4.4,0.7,0.1,0,0.1,0,0,0,0,0,0,0.1,0.1,0,0,-1.6,0,0
1933,57.2,0.4,0.1,49.5,8,0.4,1.2,0.3,0,0.5,0.1,0.1,0.1,0.4,0.7,4,0.7,0.1,0,0.1,0,0,0,0,0,0,0.1,0.1,0,0,-1.2,0,0.1
1934,66.8,0.4,0.2,58.7,8.4,0.5,1.8,0.3,0,0.6,0.1,0.1,0.1,0.4,0.9,3.9,0.6,0.1,0,0.1,0,0,0,0,0,0,0.1,0.1,0,0,-2.6,0,0.1
1935,74.3,0.5,0.2,66.1,8.5,0.6,1.7,0.4,0,0.8,0.1,0.2,0.1,0.4,1.2,4,0.7,0.1,0,0.1,0,0,0,0,0,0,0.1,0.1,0,0,-2.3,0,0.1
1936,84.9,0.6,0.3,76.3,8.8,0.7,1.7,0.4,0,1.3,0.3,0.4,0.2,0.4,1.4,4.1,0.8,0.2,0,0.1,0,0,0,0,0,0,0.1,0.3,0,0,-3.6,0,0.1
1937,93,0.7,0.4,83.7,9.7,1.3,1.8,0.5,0,1.3,1.5,0.4,0.2,0.4,1.5,4.2,0.9,0.2,0,0.1,0,0,0,0,0,0,0.1,1.5,0,0,-0.2,0,0.1
1938,87.4,0.6,0.3,77.7,10,1.2,1.7,0.3,0,0.9,1.6,0.4,0.2,0.4,1.6,4.3,0.9,0.1,0,0.1,0,0,0,0,0,0,0.1,1.6,0,0,-1.8,0,0.1
1939,93.5,0.7,0.3,83.8,10.1,0.9,1.8,0.3,0,1.3,1.8,0.4,0.2,0.4,1.7,4.3,0.9,0.2,0,0.1,0,0,0,0,0,0,0.1,1.8,0,0,-2.5,0,0.1
1940,102.9,0.6,0.3,92.7,10.6,1,2.1,0.3,0,2.6,1.9,0.3,0.2,0.4,1.8,4.4,1,0.2,0,0.1,0,0,0,0,0,0,0.1,1.9,0,0,-1,0,0.2
1941,129.4,0.7,0.3,117.7,12.1,1.6,2.8,0.4,0,7.3,2.3,0.4,0.3,0.5,2.1,4.4,1,0.3,0,0.1,0,0,0,0,0,0,0.1,2.3,0,0,0.6,0,0.3
1942,166,0.7,0.3,152,14.9,4.2,3.4,0.3,0,11.1,2.9,0.5,0.3,0.4,2,4.4,1.1,0.4,0,0.1,0,0,0,0,0,0,0.2,2.9,0,0,-11,0,0.3
1943,203.1,0.7,0.4,185.4,18,16,4.1,0.4,0,13.6,3.8,0.5,0.3,0.4,2,4.5,1.1,0.5,0,0.1,0,0,0,0,0,0,0.6,3.8,0,0,-17.1,0,0.4
1944,224.6,0.8,0.4,203.5,21.4,16.9,5.2,0.4,0,12.5,4.3,0.6,0.4,0.4,2,4.6,1.2,0.5,0,0.1,0,0.3,0,0,0,0,0.9,4.3,0,0,-29.5,0,0.4
1945,228.2,0.8,0.5,205.2,23.2,18.6,6.2,0.4,0,10.2,5.3,0.7,0.4,0.4,2.3,4.6,1.3,0.5,0,0.1,0,1.3,0,0,0,0,1,5.3,0,0,-32.1,0,0.4
1946,227.8,1.1,0.4,202.7,25.8,16.4,7.2,0.5,0,8.6,6.5,0.7,0.4,0.5,2.9,4.8,1.4,0.5,0.2,0.2,0,1.4,0,0,0.1,0,0.6,6.6,0.1,0,-8.2,0,0
1947,249.9,1.6,0.5,221.9,29.2,18.8,7.2,0.4,0.1,10.6,5.4,0.8,0.5,0.5,3.5,5.3,1.6,0.6,0.2,0.2,0,0.6,0,0,0.1,0,0.5,5.6,0,0,2.4,0,0
1948,274.8,2,0.6,244.9,31.4,18.1,7.4,0.4,0.2,11.6,4.4,0.9,0.6,0.6,4.1,5.9,1.8,0.7,0.2,0.2,0,0.1,0,0,0.1,0,0.4,4.6,0,0,0.9,0,0
1949,272.8,1.9,0.7,241.8,32.3,15.4,7.5,0.4,0.2,9.4,4.7,0.7,0.7,0.6,4.3,6.6,2.1,0.6,0.2,0.2,0,0.5,0,0,0.1,0,0.4,4.9,0,0,-8.5,0,0
1950,300.2,2.2,0.7,268.2,33.4,17.4,8.2,0.5,0.2,17,5.3,0.6,0.8,0.7,4.8,7.1,2.3,0.8,0.2,0.2,0,0.1,0,0,0.2,0,0.5,5.5,0,0,1.8,0,0
1951,347.3,2.8,0.9,311.4,37.8,25.4,8.6,0.6,0.3,21.4,6.4,0.7,0.9,0.8,5.4,7.7,2.5,0.9,0.2,0.2,0,0.1,0,0,0.2,0,0.5,6.6,0,0,4.5,0,0
1952,367.7,2.9,0.9,329.1,40.6,30.2,9.6,0.6,0.3,18.3,6.7,0.8,1,0.8,5.8,8.4,2.8,0.8,0.3,0.2,0,0.1,0,0,0.2,0,0.4,6.9,0.1,0,-2.1,0,0
1953,389.7,2.8,0.9,348.2,43.5,31.3,10.1,0.6,0.3,19.1,6.8,0.9,1,0.9,6.3,9.1,3,0.8,0.3,0.2,0,0.1,0,0,0.2,0,0.4,7.1,0,0,-4.2,0,0
1954,391.1,3,0.9,347.3,46,28.1,9,0.5,0.3,16.6,7.8,0.9,1.1,1,6.5,9.7,3.2,0.8,0.3,0.3,0,0.1,0,0,0.3,0,0.5,8.1,0,0,-8,0,0
1955,426.2,3.5,1.1,379.7,48.9,30.5,9.8,0.7,0.3,20.8,8.8,1,1.3,1,7.1,10.4,3.5,1,0.3,0.3,0,0.1,0,0,0.3,0,0.5,9.1,0,0,-0.6,0,0
1956,450.1,3.9,1.1,398.8,54.1,33.9,10.2,0.7,0.4,20.5,9.6,1.3,1.6,1.1,8,11.5,3.8,1,0.4,0.3,0,0,0.1,0,0.3,0,0.5,10,0,0,1.4,0,0
1957,474.9,4.3,1.2,419,58.9,36,10.7,0.8,0.5,19.9,11,1.4,1.7,1.2,8.6,12.6,3.9,1,0.4,0.4,0,0,0.1,0,0.3,0,0.5,11.4,0,0,-2.6,0,0
1958,482,3.9,1.2,422.2,62.4,35.5,10.4,0.8,0.5,17.4,11,1.3,1.8,1.2,10,13.8,2.8,1,0.4,0.4,0,0,0.1,0,0.3,0,0.5,11.4,0,0,-12,0,0
1959,522.5,4.3,1.5,459.8,65.4,38.5,11.2,1,0.9,21.6,13.5,1.4,2.2,1.6,11.1,14.8,2.9,1.2,0.4,0.4,0,0,0.1,0,0.3,0,0.5,13.8,0.1,0,-3.9,0,0
1960,543.3,4.9,1.8,478.5,67.9,41.8,12,1.1,0.9,20.6,16,1.8,2.5,1.7,12.2,16.2,3.1,1.2,0.5,0.5,0,0,0.1,0,0.4,0,0.5,16.4,0.1,0,0.2,-7.9,0
1961,563.3,5.3,1.8,496.2,70.6,42.7,12.1,1,0.7,20.8,16.6,2,2.8,1.8,13,17.6,3.2,1.3,0.5,0.6,0,0,0.1,0,0.4,0,0.6,17,0.1,0.1,-4.7,-14.7,0
1962,605.1,5.9,1.8,535.1,74.1,46.5,12.9,1.2,0.8,21.7,18.6,2.1,3.2,1.8,14,19,3.3,1.5,0.5,0.6,0,0,0.1,0,0.4,0,0.6,19.1,0,0.1,-5.3,-16.3,0
1963,638.6,6.5,2.1,565.1,78,49.1,13.5,1.2,0.9,23.7,21.1,2.2,3.4,2,15,20.2,3.5,1.7,0.6,0.6,0,0,0.1,0,0.4,0,0.6,21.7,0,0.1,-2.1,-12.3,0
1964,685.8,7.2,2.3,608.3,82.4,46,14.1,1.3,1.6,24.6,21.8,2.6,4,2.1,16.5,21.7,3.7,1.8,0.7,0.7,0,0,0.1,0,0.5,0,0.5,22.4,0.1,0.1,-6.9,-16.9,0
1965,743.7,7.9,2.6,661,88,51.1,13.8,1.6,1.3,27.6,22.7,2.8,4.4,2.2,18.2,23.2,3.9,2,0.8,0.8,0,0,0.1,0,0.5,0,0.6,23.4,0.1,0.1,-5.5,-13.9,0
1966,815,8.1,3,724.8,95.3,58.6,12.6,1.9,1.6,29.8,30.6,3,5.4,2.4,20,24.5,4.3,2.2,0.8,0.8,0,0,0.1,0,0.5,0.3,0.6,31.3,0.1,0.1,-7,-18,0
1967,861.7,8.7,3.3,763.6,103.5,64.4,13.3,1.9,1.9,28.1,34.1,3.1,6.1,2.5,21.4,27,4.4,2.6,0.9,0.9,0,0,0.1,0.1,0.6,0.6,0.6,34.9,0.1,0.1,-19.5,-30,0
1968,942.5,10.1,4,835.2,113.3,76.4,14.6,2.3,2.5,33.6,37.9,3.1,7.8,2.7,25.1,29.9,4.6,3.3,0.9,1,0,0,0.1,0.1,0.6,0.8,0.6,38.7,0.1,0.1,-13.7,-22.7,0
1969,1019.9,11.8,5.7,901.1,124.9,91.7,15.4,2.4,3,33,43.3,3.6,9.8,3,28.6,32.8,4.7,3.6,1,1.1,0,0,0.1,0.2,0.7,0.9,0.6,44.1,0.2,0.2,-5.1,-12.5,0
1970,1075.9,12.8,6.4,945.5,136.8,88.9,15.6,2.5,3.5,27.1,45.5,3.7,10.9,3.3,31.6,36.7,5,3.7,1.1,1.1,0,0,0.1,0.2,0.7,1.1,0.6,46.4,0.2,0.2,-34.8,-38.9,0
1971,1167.8,14,6.4,1026.5,148.9,85.8,15.9,3.1,3.4,30.1,50.3,4.6,12.4,3.5,35.4,40.4,5.7,4.3,1.2,1.2,0,0,0.2,0.2,0.8,1.3,0.6,51.2,0.3,0.3,-50.8,-50.5,0
1972,1282.4,16.3,7.7,1130.1,160.9,102.8,15.5,3,3.2,33.4,58.3,5.4,17.2,3.7,39.8,43.2,6.4,5.3,1.3,1.4,0,0,0.2,0.3,0.9,1.4,0.7,59.2,0.4,0.4,-48.9,-48.1,0
1973,1428.5,23.5,10.9,1263.1,178.1,109.6,16.5,3.3,4.3,38.9,74.5,5.1,18.9,4,44.1,46.4,7,6,1.5,1.5,0,0,0.2,0.3,1,1.5,0.6,75.5,0.5,0.5,-37.7,-35.3,0
1974,1548.8,29.8,14.3,1358.2,206.2,126.5,16.4,3.7,5.6,39.6,84.1,4.8,20.4,4.2,48.2,49,7.7,6.7,1.7,1.5,0,0,0.3,0.3,1.2,1.8,0.7,85.2,0.6,0.6,-40.6,-39.1,0
1975,1688.9,28,15,1464.4,237.5,120.7,16.2,5.9,5.4,38.2,88.1,4.9,22.5,4.4,51.7,53.4,8.1,7.3,1.8,1.6,0,0,0.4,0.3,1.3,1.9,0.7,89.3,0.6,0.6,-97,-103.4,0
1976,1877.6,32.4,15.5,1635.2,259.2,141.2,16.8,4.6,5.9,48.7,99.8,5.6,26.3,4.8,57.8,58.2,9,9.6,2.2,1.7,0,0,0.5,0.3,1.7,2,0.7,101.3,0.7,0.6,-79.9,-86.6,0
1977,2086,37.2,16.9,1817.9,288.3,162.2,17.3,5.4,5.9,55.7,111.1,7.2,30.4,5,64,63.2,9.7,11.4,2.8,2.1,0,0,0.6,0.3,2.1,2.2,0.7,113.1,0.8,0.8,-71.9,-80,0
1978,2356.6,46.3,24.7,2053.1,325.1,188.9,18.2,7.1,7,64.4,128.7,5.2,35,5.5,71,63.7,10.9,12.1,3.4,2,0.1,0,0.6,0.3,2.7,2.5,0.7,131.3,0.8,0.9,-59.8,-73.2,0
1979,2632.1,68.3,36.4,2292.9,371.1,224.6,18.2,7.5,9.3,65.1,149.8,5.5,38.2,5.8,77.3,64.4,12.7,13.6,3.9,2,0.1,0,0.7,0.3,3,2.7,0.7,152.7,1,0.9,-44.5,-60.7,0
1980,2862.5,79.1,44.9,2470.7,426,250,26.5,7.2,11.7,58.6,163.6,6.5,42.6,6.3,82.9,68.8,15,14.5,3.6,2.3,0.1,0,0.8,0.4,3,3,0.7,166.2,1,1,-86.3,-104.8,0
1981,3211,92,59.1,2758.8,485,290.6,41.3,8.6,14,51.7,193,6.9,47.9,6.7,90.7,77.1,17.9,15.4,3.9,2.4,0.1,0,0.9,0.4,3.1,3.4,0.7,195.7,1.2,1.2,-85.8,-104.3,0
1982,3345,101,64.5,2847.2,534.3,295,32.3,8.6,15.2,33.8,206,7.5,51.9,7.3,96.2,85.3,18.5,14,4,2.6,0.1,0,0.9,0.5,3.1,3.9,0.7,208.9,1.1,1.2,-164.6,-185.4,0
1983,3638.1,101.9,64.8,3114.7,560.5,286.2,35.3,9.1,14.2,47.1,223.1,5.8,58.3,7.8,107.7,91.9,19.4,15.9,4.1,2.5,0.1,0,0.9,0.6,3,4.2,0.7,226,1.2,1.3,-205,-233.2,0
1984,4040.7,121.9,85.6,3482.6,594.3,301.4,35.4,11.9,16.1,59.2,254.1,6,67.5,8.6,121,99.7,21.8,18.8,4.7,2.4,0.1,0,1,0.7,3.3,5.1,0.7,257.5,1.3,1.3,-192.3,-229.4,0
1985,4346.7,112.7,87.3,3735.4,636.7,336,33.9,12.2,17.8,58.5,277.9,6.4,72.1,9.2,131.1,107.5,23.5,20.2,4.9,2.6,0.1,0,1.1,0.8,3.7,5.6,0.8,281.4,1.4,1.4,-195.6,-246.8,0
1986,4590.2,111.3,94.4,3924.9,682.2,350,30,13.7,17.8,66,298.9,7,77.4,9.8,139.9,116.2,23.7,22.7,6,3,0.3,0,1.1,0.9,4.4,5.7,0.8,303.4,1.5,1.5,-212.7,-264.3,0
1987,4870.2,123.3,105.8,4159.8,728,392.5,30.4,15.5,17.7,85.4,317.4,7.2,86,10.6,150.3,126.4,24.9,23.9,7.2,3.4,0.3,0,1.2,1.1,5.2,6.7,0.8,323.1,1.5,1.5,-163.2,-219.5,0
1988,5252.6,152.1,129.5,4492.9,782.4,402.8,33.4,16.4,17.4,93.8,354.8,7.6,90.6,11.5,162.4,136.5,25.7,26,8.4,3.5,0.5,0,1.3,1.3,6.1,9.4,0.8,361.5,1.7,1.7,-157.3,-201,0
1989,5657.7,177.7,152.9,4846.4,836.1,451.5,32.3,17.5,21.6,95.6,378,8.9,102.3,12.4,172.3,149.9,26.9,24.2,9,3.5,0.6,0,1.4,1.3,7.1,12.7,0.8,385.2,1.8,1.7,-156.6,-194.3,0
1990,5979.6,188.8,154.2,5127.5,886.8,470.1,33.4,17.5,23.6,94.5,402,11.6,109.6,13,184.3,161.5,28.3,22.5,10,4.2,0.7,0,1.5,1.5,8,10.7,0.8,410.1,1.9,2,-200.9,-243.8,0
1991,6174,168.4,136.8,5274.5,931.1,461.3,44.9,16.8,20.8,89.2,420.6,11,111.7,13.6,190.7,176.1,28.6,23.6,11.6,4.6,0.8,0,1.6,1.7,9.2,11.9,0.8,430.2,2,2.1,-246.2,-280.8,0
1992,6539.3,152.1,121,5610.7,959.7,475.2,45,18.3,16.8,102,444,11.3,120.4,14.9,204.3,184.7,31.1,24.4,13.1,4.5,0.9,0,1.8,1.7,10.3,12.9,1.1,455,2.1,2.1,-332.7,-359.1,0
1993,6878.7,155.6,123.6,5907.1,1003.6,505.5,46.5,19.8,16,122.5,465.5,12.9,126.2,14.8,216.4,187.3,33.1,26.9,14.1,4.7,0.9,0,1.8,1.6,11.1,15.2,0.8,477.4,2.2,2.2,-311.8,-328.8,0
1994,7308.8,184.5,160.7,6277,1055.6,542.5,57.5,21.4,20.5,136.3,496.2,15.1,132.2,15.7,231.4,199.4,35.5,30,14.5,5.1,1,0,1.9,1.4,11.4,17.3,0.8,508.2,2.5,2.5,-253.7,-261.7,0
1995,7664.1,229.8,201.1,6570,1122.8,585.8,55.7,19.8,23.4,155.9,521.9,14.9,141.7,16.4,242.7,202.6,37,31.7,13.6,5.1,1,0,1.9,1,11,19.5,0.8,532.8,2.7,2.7,-240.8,-241.6,0
1996,8100.2,246.4,214.6,6956,1176,663.3,53.6,19.2,20.1,170.5,545.4,17.5,152.3,16.3,256.2,212.4,39.4,33,12.5,5.6,1.1,0,1.9,1,10.2,18.6,0.8,555.1,2.8,2.8,-178.5,-182,0
1997,8608.5,280.1,256,7392.7,1240,744.2,58.2,19.6,20.7,182.3,579.4,20.6,164.7,17.3,268.7,223.5,41.6,34.1,10.8,6.4,1,0,1.9,0.9,9.2,19.1,0.8,587.2,3,3,-91.2,-81.7,0
1998,9089.2,286.8,268.5,7797.1,1310.3,825.2,61.1,19.6,26.6,177.7,617.4,25.2,183,18.2,283.9,231,43.9,34.9,10.4,7.2,1,0,2,1,8.6,19.2,0.7,624.7,3.1,3.1,2.7,10.9,0
1999,9660.6,321.4,294.3,8286.9,1400.9,893,64.3,19.2,25.4,187.6,654.8,28.8,195.5,19,301.6,242.8,45.8,35.8,9.8,7.9,0.9,0,2,1,7.9,20.3,0.7,661.3,3.3,3.3,66.6,62,0
2000,10284.8,382.7,345.7,8807.5,1514.2,995.6,66.1,21.1,25.3,194.1,698.6,28.1,217.4,19.4,316.8,254.7,49.8,35.2,10.8,7.5,0.8,0,2.2,1.2,8.2,20.3,0.6,705.8,3.6,3.6,156.5,152.3,0
2001,10621.8,325.3,273.5,9069.6,1604,991.8,64.6,20.6,27.1,137.6,723.3,28,223.3,19.7,321.8,268,52.6,28.9,13.7,7.7,0.9,0,2.3,1.3,10,22.6,0.6,733.2,3.8,3.7,14.5,0.8,0
2002,10977.5,315.8,267.2,9364,1662.1,828.5,66.9,19.9,24.5,126,739.4,25.3,201.3,20.5,331.1,289.3,55.4,30.9,15.8,7.3,0.8,0,2.3,1.5,12.2,24.7,0.6,751.5,3.7,3.8,-270.5,-309.9,0
2003,11510.7,356.1,289,9850.6,1727.2,774.1,68.7,21.4,22,175.8,763.2,22,204.7,22.1,348.9,307,62,34,19.9,6,1.1,0,2.3,2.1,16,27.1,0.5,779.3,3.8,3.9,-402.9,-469.1,0
2004,12274.9,451.4,362.3,10532.4,1831.7,798.5,72,23.3,18.1,232.2,808.9,24.6,223.6,23.8,371.1,326.2,71.5,41.7,24.7,5.6,1.6,0,2.4,2.6,19.3,31,0.5,829.2,4.4,4.4,-399.2,-470.1,0
2005,13093.7,575.8,483.2,11204.3,1982,932.1,74.1,25.3,21.5,319.5,853.4,25,251.5,24.9,402.5,351.3,81.4,54.9,24.6,5.3,1.2,0,2.5,3.1,19.1,37.1,0.4,873.3,4.7,4.7,-304.7,-396.6,0
2006,13855.9,724.2,656.6,11787.5,2136,1049.6,72.6,26.7,29.1,366,905.7,27.8,276.2,26.3,431.8,375,85.9,59.2,21.5,5.1,1.6,0,2.5,3.8,17,43.6,0.4,922.6,4.6,4.6,-227,-293.2,0
2007,14477.6,875.7,750.1,12338.9,2264.4,1164.4,65.8,28.8,34.6,328.2,947.2,26.5,296.4,27.1,448.9,403.8,87.2,57.9,18.9,5,1.3,0,2.4,4,15.1,47.9,0.4,961.4,4.7,4.7,-265.6,-353.9,0
2008,14718.6,856.9,684.9,12527.2,2363.4,1101.7,64.7,29.2,31.7,202,974.4,28.3,307,26.5,444.8,413.8,89.4,47.4,18.7,5.6,1.6,0.1,2.5,4.4,14,51.6,0.4,988.2,4.9,4.8,-634,-780.6,0
2009,14418.7,648.9,497.8,12201.4,2368.4,857.2,68.3,23.1,47.4,153,950.8,20.6,259.5,28.3,423.9,435.1,75.8,45.6,18.6,4.3,2.4,0,2.6,4.9,12.6,54.2,0.3,964.4,5,5,-1248.8,-1475.7,0
2010,14964.4,720,514.1,12788.8,2381.6,893.8,68.2,28.6,79.3,219.4,970.9,15.1,267.1,30.5,446,435,79.4,47.7,18.1,4.4,2.6,0.1,2.7,5,11.9,57.7,0.3,984.1,4.9,4.9,-1328.7,-1508.7,0
2011,15517.9,792.6,546,13313.9,2450.6,1076.6,76.7,31.9,75.4,224,904,9.6,292.9,31.2,466.7,439.2,88.1,50.2,18.2,4.7,2.2,0.1,3,5.2,11.7,59.7,0.3,917.8,4.4,4.4,-1244.1,-1397.1,0
2012,16163.2,793.8,566.5,13860.3,2530.2,1149,81.6,33.5,88.4,281.1,938.1,14.1,322.7,31.9,482,443.7,91.2,53.2,17.7,4.9,2.9,0.1,3,5.5,11.8,60.4,0.2,951.2,4.6,4.6,-1079.1,-1185.6,0
2013,16768.1,810.4,586.1,14365.1,2627.2,1286.8,85.5,35.4,79.6,305.3,1092.3,20.9,342.7,32.3,501.1,446.4,94.1,55.3,17.7,5.3,3.2,0.1,3,5.1,11.6,65.6,0.2,1104.5,5.5,5.4,-649.1,-705.6,0
